NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE14769_UNSTIM_VS_120MIN_LPS_BMDM_DN	GSE14769_UNSTIM_VS_120MIN_LPS_BMDM_DN	Details ...	36	-0.12084869	---	---	1.0	0.0	2502	tags=97%, list=79%, signal=463%	
GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_72H_CD8_T_CELL_UP	GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_72H_CD8_T_CELL_UP	Details ...	42	-0.12933248	---	---	1.0	0.0	2756	tags=100%, list=87%, signal=775%	
GSE17721_0.5H_VS_12H_GARDIQUIMOD_BMDC_DN	GSE17721_0.5H_VS_12H_GARDIQUIMOD_BMDC_DN	Details ...	45	-0.16543527	---	---	1.0	0.0	2644	tags=100%, list=84%, signal=606%	
GSE17721_0.5H_VS_24H_POLYIC_BMDC_UP	GSE17721_0.5H_VS_24H_POLYIC_BMDC_UP	Details ...	41	-0.16021134	---	---	1.0	0.0	2212	tags=95%, list=70%, signal=313%	
GSE17721_0.5H_VS_8H_GARDIQUIMOD_BMDC_DN	GSE17721_0.5H_VS_8H_GARDIQUIMOD_BMDC_DN	Details ...	41	-0.25826114	---	---	1.0	0.0	2354	tags=100%, list=75%, signal=388%	
GSE21033_CTRL_VS_POLYIC_STIM_DC_6H_DN	GSE21033_CTRL_VS_POLYIC_STIM_DC_6H_DN	Details ...	38	-0.1798077	---	---	1.0	0.0	2598	tags=100%, list=82%, signal=557%	
GSE21927_GMCSF_IL6_VS_GMCSF_GCSF_TREATED_BONE_MARROW_DN	GSE21927_GMCSF_IL6_VS_GMCSF_GCSF_TREATED_BONE_MARROW_DN	Details ...	50	-0.18508302	---	---	1.0	0.0	2119	tags=96%, list=67%, signal=287%	
GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_DN	GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_DN	Details ...	38	-0.13244092	---	---	1.0	0.0	1963	tags=92%, list=62%, signal=240%	
GSE22886_NEUTROPHIL_VS_MONOCYTE_DN	GSE22886_NEUTROPHIL_VS_MONOCYTE_DN	Details ...	45	-0.16607773	---	---	1.0	0.0	2642	tags=100%, list=84%, signal=603%	
GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_DN	GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_DN	Details ...	41	-0.17709336	---	---	1.0	0.0	2607	tags=100%, list=83%, signal=566%	
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN	GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN	Details ...	72	-0.22980323	---	---	1.0	0.0	2341	tags=99%, list=74%, signal=372%	
GSE13887_HEALTHY_VS_LUPUS_RESTING_CD4_TCELL_DN	GSE13887_HEALTHY_VS_LUPUS_RESTING_CD4_TCELL_DN	Details ...	22	-0.3140944	-1.6446384	0.0	0.029490862	0.139	2174	tags=100%, list=69%, signal=319%	
GSE45365_NK_CELL_VS_CD11B_DC_DN	GSE45365_NK_CELL_VS_CD11B_DC_DN	Details ...	32	-0.23384517	-1.4304719	0.0	0.1293863	0.505	2428	tags=100%, list=77%, signal=428%	
GSE17721_PAM3CSK4_VS_CPG_24H_BMDC_DN	GSE17721_PAM3CSK4_VS_CPG_24H_BMDC_DN	Details ...	25	-0.28088096	-1.3987846	0.0	0.15035903	0.575	2279	tags=100%, list=72%, signal=356%	
GSE1925_CTRL_VS_IFNG_PRIMED_MACROPHAGE_UP	GSE1925_CTRL_VS_IFNG_PRIMED_MACROPHAGE_UP	Details ...	31	-0.2081886	-1.377304	0.0	0.16306257	0.628	1991	tags=94%, list=63%, signal=251%	
GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_DN	GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_DN	Details ...	27	-0.27272013	-1.3432804	0.0	0.19281335	0.72	1804	tags=93%, list=57%, signal=214%	
