NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_UP	GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_UP	Details ...	78	0.6684692	2.021465	0.0	0.005951207	0.006	843	tags=77%, list=27%, signal=102%	
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP	GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP	Details ...	70	0.6517904	1.9701394	0.0	0.0054549114	0.011	529	tags=57%, list=17%, signal=67%	
GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	Details ...	88	0.63821495	1.9267131	0.0	0.011566513	0.035	727	tags=65%, list=23%, signal=82%	
GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_UP	GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_UP	Details ...	69	0.63287616	1.9041154	0.0	0.013384068	0.053	529	tags=52%, list=17%, signal=61%	
GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_UP	GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_UP	Details ...	70	0.6168495	1.8499798	0.0	0.03311334	0.15	706	tags=60%, list=22%, signal=76%	
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP	GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP	Details ...	116	0.57870996	1.7912526	0.0	0.09681796	0.456	721	tags=55%, list=23%, signal=69%	
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_24H_ACT_CD4_TCELL_UP	GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_24H_ACT_CD4_TCELL_UP	Details ...	23	0.6506463	1.7488091	0.0020222447	0.18919109	0.725	756	tags=61%, list=24%, signal=79%	
GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN	GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN	Details ...	70	0.5755382	1.7204896	0.0	0.2727256	0.887	717	tags=50%, list=23%, signal=63%	
GSE22045_TREG_VS_TCONV_DN	GSE22045_TREG_VS_TCONV_DN	Details ...	62	0.57416403	1.7120619	0.0	0.27953726	0.91	409	tags=35%, list=13%, signal=40%	
GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_DN	GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_DN	Details ...	18	0.65596503	1.7028646	0.0010245901	0.29421005	0.944	367	tags=44%, list=12%, signal=50%	
GSE23321_EFFECTOR_MEMORY_VS_NAIVE_CD8_TCELL_UP	GSE23321_EFFECTOR_MEMORY_VS_NAIVE_CD8_TCELL_UP	Details ...	16	0.6705873	1.6981839	0.0010309279	0.2874681	0.953	592	tags=63%, list=19%, signal=77%	
GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4MID_BCELL_UP	GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4MID_BCELL_UP	Details ...	20	0.6463376	1.6930476	0.0	0.284824	0.959	789	tags=65%, list=25%, signal=86%	
GSE23502_BM_VS_COLON_TUMOR_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_UP	GSE23502_BM_VS_COLON_TUMOR_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_UP	Details ...	17	0.65381795	1.68568	0.002051282	0.2974539	0.977	373	tags=41%, list=12%, signal=46%	
GSE360_DC_VS_MAC_T_GONDII_UP	GSE360_DC_VS_MAC_T_GONDII_UP	Details ...	20	0.6396702	1.6803256	0.0010090817	0.29900497	0.982	673	tags=50%, list=21%, signal=63%	
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_12H_ACT_CD4_TCELL_DN	GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_12H_ACT_CD4_TCELL_DN	Details ...	28	0.59711325	1.6674459	0.001002004	0.34244594	0.991	619	tags=54%, list=20%, signal=66%	
GSE22886_NAIVE_CD4_TCELL_VS_NKCELL_UP	GSE22886_NAIVE_CD4_TCELL_VS_NKCELL_UP	Details ...	88	0.5455126	1.6654536	0.0	0.33176237	0.992	749	tags=50%, list=24%, signal=64%	
GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_3H_UP	GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_3H_UP	Details ...	59	0.5632484	1.6593049	0.0	0.34279895	0.994	664	tags=49%, list=21%, signal=61%	
